Model,w0,w1 (BMI),w2 (Age),MSE,RMSE,MAE,R2
BMI-only Baseline,1178.1795457392454,394.3276438397114,0.0,140764214.66568008,11864.40957931241,9172.304619926092,0.03943252905734407
Normal Equation (BMI + Age),-6437.347476034178,333.39085553084993,241.90007346996222,129359773.28890745,11373.64379998369,9032.275508253591,0.11725582695175663
Gradient Descent (BMI + Age),-6437.347476034165,333.3908555308472,241.90007346996384,129359773.28890741,11373.643799983689,9032.27550825359,0.11725582695175685
